日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093725,11141.646E,4047.818N,1060,37.225
20171005,093726,11141.645E,4047.823N,1060,28.336
20171005,093727,11141.644E,4047.827N,1060,23.150
20171005,093728,11141.642E,4047.830N,1060,19.446
20171005,093729,11141.641E,4047.832N,1060,15.372
20171005,093730,11141.640E,4047.834N,1060,12.779
20171005,093731,11141.639E,4047.836N,1061,12.223
20171005,093732,11141.638E,4047.838N,1061,15.927
20171005,093733,11141.637E,4047.840N,1061,21.854
20171005,093734,11141.635E,4047.844N,1061,26.854
20171005,093735,11141.633E,4047.848N,1061,28.521
20171005,093736,11141.630E,4047.853N,1061,32.410
20171005,093737,11141.628E,4047.857N,1061,34.077
20171005,093738,11141.626E,4047.862N,1061,34.077
20171005,093739,11141.623E,4047.867N,1061,35.188
20171005,093740,11141.621E,4047.873N,1062,34.632
20171005,093741,11141.619E,4047.878N,1062,34.632
20171005,093742,11141.617E,4047.883N,1062,35.744
20171005,093743,11141.615E,4047.889N,1062,36.670
20171005,093744,11141.612E,4047.894N,1062,36.114
20171005,093745,11141.610E,4047.899N,1062,35.188
20171005,093746,11141.607E,4047.904N,1062,34.632
20171005,093747,11141.605E,4047.909N,1062,35.188
20171005,093748,11141.603E,4047.914N,1062,32.410
20171005,093749,11141.601E,4047.919N,1062,30.743
20171005,093750,11141.599E,4047.923N,1063,28.706
20171005,093751,11141.597E,4047.927N,1063,26.669
20171005,093752,11141.594E,4047.930N,1064,24.632
20171005,093753,11141.593E,4047.934N,1064,22.780
20171005,093754,11141.591E,4047.937N,1064,20.557
20171005,093755,11141.590E,4047.939N,1064,18.150
20171005,093756,11141.589E,4047.942N,1063,17.594
20171005,093757,11141.587E,4047.945N,1063,18.890
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093758,11141.587E,4047.947N,1063,18.520
20171005,093759,11141.586E,4047.950N,1063,15.927
20171005,093800,11141.586E,4047.952N,1062,14.631
20171005,093801,11141.585E,4047.955N,1062,15.927
20171005,093802,11141.584E,4047.957N,1062,17.224
20171005,093803,11141.583E,4047.959N,1062,14.816
20171005,093804,11141.582E,4047.961N,1062,12.779
20171005,093805,11141.582E,4047.963N,1062,8.334
20171005,093806,11141.581E,4047.964N,1062,5.926
20171005,093807,11141.582E,4047.964N,1063,4.074
20171005,093808,11141.581E,4047.965N,1063,0.185
20171005,093809,11141.581E,4047.965N,1063,0.000
20171005,093810,11141.580E,4047.966N,1064,0.000
20171005,093811,11141.580E,4047.966N,1064,0.000
20171005,093812,11141.580E,4047.966N,1064,0.000
20171005,093813,11141.580E,4047.966N,1064,0.000
20171005,093814,11141.580E,4047.966N,1064,0.000
20171005,093815,11141.580E,4047.966N,1064,0.000
20171005,093816,11141.580E,4047.966N,1064,0.000
20171005,093817,11141.580E,4047.966N,1064,0.000
20171005,093818,11141.580E,4047.966N,1064,0.000
20171005,093819,11141.580E,4047.967N,1064,2.963
20171005,093820,11141.579E,4047.967N,1064,4.630
20171005,093821,11141.579E,4047.969N,1064,5.371
20171005,093822,11141.579E,4047.970N,1064,4.074
20171005,093823,11141.578E,4047.970N,1064,1.482
20171005,093824,11141.578E,4047.970N,1064,0.000
20171005,093825,11141.578E,4047.971N,1064,0.000
20171005,093826,11141.578E,4047.971N,1064,0.000
20171005,093827,11141.578E,4047.971N,1064,0.000
20171005,093828,11141.578E,4047.971N,1064,0.000
20171005,093829,11141.578E,4047.971N,1064,0.000
20171005,093830,11141.578E,4047.971N,1064,0.000
20171005,093831,11141.578E,4047.971N,1064,0.000
20171005,093832,11141.578E,4047.971N,1064,0.000
20171005,093833,11141.578E,4047.971N,1064,0.000
20171005,093834,11141.578E,4047.971N,1064,0.000
20171005,093835,11141.578E,4047.971N,1064,0.000
20171005,093836,11141.578E,4047.971N,1064,0.000
20171005,093837,11141.578E,4047.972N,1064,2.222
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093838,11141.578E,4047.972N,1064,2.963
20171005,093839,11141.578E,4047.973N,1064,2.593
20171005,093840,11141.577E,4047.973N,1064,2.778
20171005,093841,11141.577E,4047.974N,1064,3.148
20171005,093842,11141.577E,4047.974N,1064,2.778
20171005,093843,11141.577E,4047.975N,1064,1.852
20171005,093844,11141.577E,4047.975N,1064,1.296
20171005,093845,11141.577E,4047.975N,1064,0.741
20171005,093846,11141.577E,4047.975N,1063,0.741
20171005,093847,11141.577E,4047.975N,1063,0.926
20171005,093848,11141.577E,4047.976N,1063,1.296
20171005,093849,11141.577E,4047.976N,1063,1.852
20171005,093850,11141.577E,4047.976N,1063,1.111
20171005,093851,11141.577E,4047.976N,1063,0.000
20171005,093852,11141.577E,4047.976N,1063,0.000
20171005,093853,11141.577E,4047.976N,1063,0.000
20171005,093854,11141.577E,4047.976N,1063,0.000
20171005,093855,11141.577E,4047.976N,1063,0.000
20171005,093856,11141.577E,4047.976N,1063,0.000
20171005,093857,11141.577E,4047.976N,1063,0.000
20171005,093858,11141.577E,4047.976N,1063,0.000
20171005,093859,11141.577E,4047.976N,1063,0.000
20171005,093900,11141.577E,4047.976N,1063,0.000
20171005,093901,11141.577E,4047.976N,1063,0.000
20171005,093902,11141.577E,4047.976N,1063,0.000
20171005,093903,11141.577E,4047.976N,1063,0.000
20171005,093904,11141.577E,4047.976N,1063,0.000
20171005,093905,11141.577E,4047.976N,1063,0.000
20171005,093906,11141.577E,4047.976N,1063,0.000
20171005,093907,11141.577E,4047.976N,1063,0.000
20171005,093908,11141.577E,4047.976N,1063,0.000
20171005,093909,11141.577E,4047.976N,1063,0.000
20171005,093910,11141.577E,4047.976N,1063,0.000
20171005,093911,11141.577E,4047.976N,1063,0.000
20171005,093912,11141.577E,4047.976N,1063,0.000
20171005,093913,11141.576E,4047.977N,1063,4.630
20171005,093914,11141.575E,4047.978N,1063,11.112
20171005,093915,11141.574E,4047.981N,1063,14.816
20171005,093916,11141.573E,4047.983N,1063,17.038
20171005,093917,11141.572E,4047.986N,1063,21.854
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093918,11141.570E,4047.990N,1063,22.780
20171005,093919,11141.569E,4047.993N,1063,20.557
20171005,093920,11141.567E,4047.996N,1063,19.631
20171005,093921,11141.566E,4047.998N,1063,16.483
20171005,093922,11141.565E,4048.000N,1064,12.779
20171005,093923,11141.564E,4048.002N,1064,14.446
20171005,093924,11141.562E,4048.005N,1065,16.853
20171005,093925,11141.560E,4048.007N,1066,18.335
